Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
otros,femenino,sí,clase media-alta,mediano,secundaria,sin educación,viudo,2.8,albergue,nuclear,6,mixto,privado,2,3–5 km,casi todos los días,transporte público,alto,leve,regular,nunca,ocasional,nunca,casi nunca,casi nunca,casi nunca,bastante a menudo,moderado
adolescencia tardía,masculino,no,alta,pequeño,secundaria,licenciatura,casado,1.8,con familiares,nuclear,1,mixto,público,0,1–3 km,nunca,transporte privado,bajo,muy poco estrés,regular,regular,regular,ocasional,rara vez,casi nunca,casi nunca,rara vez,bajo
adolescencia tardía,masculino,no,clase baja,mediano,posgrado,posgrado,casado,3.1,con familiares,conjunto,5,mixto,privado,5,1–3 km,dos veces a la semana,a pie,bajo,mayor,nunca,nunca,nunca,regular,casi siempre,rara vez,casi nunca,casi siempre,bajo
adolescencia temprana,masculino,sí,clase media-baja,pequeño,posgrado,primaria,divorciado,4.0,con familiares,nuclear,5,mixto,público,2,3–5 km,una vez a la semana,a pie,bajo,moderado,ocasional,nunca,ocasional,ocasional,bastante a menudo,rara vez,casi nunca,rara vez,bajo
adolescencia tardía,masculino,sí,clase media-alta,mediano,primaria,primaria,divorciado,2.6,albergue,nuclear,2,mixto,público,2,menos de 1 km,una vez a la semana,transporte público,moderado,muy poco estrés,nunca,nunca,ocasional,nunca,casi siempre,a veces,rara vez,casi siempre,moderado
otros,femenino,no,clase media-alta,mediano,preparatoria,sin educación,separado,2.5,con familiares,nuclear,3,mixto,privado,4,3–5 km,dos veces a la semana,transporte público,bajo,mayor,nunca,ocasional,regular,ocasional,bastante a menudo,bastante a menudo,rara vez,casi nunca,bajo
otros,masculino,sí,clase media-baja,mediano,secundaria,preparatoria,separado,3.0,con familiares,conjunto,6,unisexo,privado,6,1–3 km,casi todos los días,transporte privado,bajo,mayor,regular,nunca,nunca,regular,algunas veces,casi siempre,casi siempre,casi siempre,bajo
adolescencia tardía,femenino,sí,clase media-alta,pequeño,preparatoria,sin educación,viudo,3.4,albergue,conjunto,2,unisexo,público,4,menos de 1 km,dos veces a la semana,a pie,alto,leve,regular,nunca,ocasional,ocasional,algunas veces,bastante a menudo,rara vez,rara vez,moderado
adolescencia temprana,femenino,no,clase media-baja,mediano,sin educación,preparatoria,casado,3.7,con padres,conjunto,1,mixto,privado,0,menos de 1 km,dos veces a la semana,a pie,alto,mayor,nunca,nunca,ocasional,nunca,bastante a menudo,bastante a menudo,bastante a menudo,bastante a menudo,moderado
otros,masculino,sí,alta,grande,secundaria,primaria,casado,2.9,con familiares,conjunto,5,unisexo,público,3,menos de 1 km,nunca,transporte privado,bajo,mayor,nunca,nunca,ocasional,nunca,bastante a menudo,a veces,casi siempre,casi nunca,bajo
adolescencia temprana,femenino,no,alta,mediano,preparatoria,preparatoria,divorciado,4.0,albergue,nuclear,3,unisexo,privado,4,menos de 1 km,casi todos los días,transporte público,bajo,muy poco estrés,regular,ocasional,nunca,ocasional,casi nunca,bastante a menudo,bastante a menudo,casi siempre,bajo
otros,masculino,no,clase media-baja,pequeño,primaria,preparatoria,soltero,4.9,con familiares,nuclear,3,unisexo,privado,5,más de 5 km,casi todos los días,transporte privado,alto,moderado,ocasional,ocasional,ocasional,regular,rara vez,bastante a menudo,casi siempre,casi siempre,moderado
adolescencia temprana,masculino,sí,clase media-baja,mediano,licenciatura,preparatoria,casado,3.2,con padres,conjunto,2,unisexo,privado,4,1–3 km,nunca,transporte público,bajo,muy poco estrés,nunca,regular,nunca,nunca,casi siempre,casi siempre,algunas veces,algunas veces,bajo
adolescencia tardía,femenino,sí,clase baja,mediano,primaria,secundaria,soltero,2.9,albergue,nuclear,3,unisexo,privado,2,1–3 km,casi todos los días,transporte privado,bajo,grave,nunca,nunca,regular,regular,rara vez,bastante a menudo,algunas veces,rara vez,bajo
adolescencia tardía,femenino,sí,clase media-baja,grande,secundaria,licenciatura,casado,2.1,albergue,conjunto,5,unisexo,privado,2,más de 5 km,una vez a la semana,a pie,bajo,grave,nunca,regular,nunca,nunca,algunas veces,rara vez,casi nunca,bastante a menudo,bajo
otros,masculino,no,clase media-baja,pequeño,licenciatura,primaria,divorciado,3.0,con familiares,nuclear,5,mixto,público,2,1–3 km,dos veces a la semana,a pie,bajo,grave,regular,nunca,regular,regular,bastante a menudo,casi siempre,casi nunca,casi nunca,bajo
adolescencia media,masculino,sí,clase media-baja,grande,preparatoria,sin educación,viudo,1.0,con padres,conjunto,1,unisexo,público,5,1–3 km,una vez a la semana,transporte privado,moderado,muy poco estrés,nunca,ocasional,ocasional,nunca,bastante a menudo,rara vez,rara vez,casi siempre,bajo
adolescencia tardía,femenino,no,clase media-baja,grande,licenciatura,preparatoria,soltero,3.6,albergue,conjunto,5,unisexo,público,2,3–5 km,nunca,a pie,bajo,leve,ocasional,regular,nunca,ocasional,rara vez,casi siempre,rara vez,casi nunca,bajo
adolescencia tardía,femenino,sí,clase baja,pequeño,primaria,licenciatura,separado,3.6,con familiares,nuclear,1,unisexo,público,3,3–5 km,nunca,transporte público,moderado,muy poco estrés,nunca,nunca,ocasional,ocasional,casi siempre,casi nunca,bastante a menudo,algunas veces,moderado
adolescencia media,masculino,no,clase baja,grande,preparatoria,preparatoria,divorciado,1.7,con familiares,nuclear,1,unisexo,privado,1,menos de 1 km,casi todos los días,transporte público,alto,leve,ocasional,nunca,regular,regular,casi nunca,bastante a menudo,casi siempre,algunas veces,bajo
adolescencia temprana,femenino,no,clase media-baja,pequeño,secundaria,preparatoria,divorciado,3.3,con padres,conjunto,5,mixto,público,3,3–5 km,casi todos los días,transporte privado,alto,grave,regular,ocasional,regular,regular,algunas veces,rara vez,casi siempre,casi siempre,moderado
adolescencia tardía,femenino,sí,alta,mediano,posgrado,preparatoria,soltero,2.8,con familiares,nuclear,1,unisexo,privado,4,más de 5 km,casi todos los días,transporte privado,alto,leve,ocasional,nunca,nunca,ocasional,algunas veces,a veces,bastante a menudo,bastante a menudo,moderado
adolescencia media,masculino,sí,clase media-alta,mediano,licenciatura,licenciatura,viudo,3.0,con padres,conjunto,2,unisexo,privado,4,1–3 km,casi todos los días,transporte público,moderado,muy poco estrés,ocasional,nunca,nunca,ocasional,casi siempre,rara vez,algunas veces,bastante a menudo,moderado
adolescencia tardía,femenino,sí,clase media-baja,mediano,sin educación,primaria,separado,2.7,con padres,conjunto,5,mixto,privado,1,más de 5 km,nunca,transporte público,alto,muy poco estrés,ocasional,regular,nunca,regular,casi nunca,bastante a menudo,bastante a menudo,casi siempre,moderado
adolescencia tardía,masculino,no,clase media-baja,pequeño,preparatoria,licenciatura,casado,3.0,con familiares,nuclear,4,mixto,privado,1,menos de 1 km,nunca,a pie,bajo,grave,nunca,nunca,ocasional,nunca,casi nunca,bastante a menudo,algunas veces,rara vez,bajo
adolescencia temprana,masculino,no,clase baja,grande,primaria,licenciatura,divorciado,1.3,albergue,conjunto,5,unisexo,privado,1,3–5 km,casi todos los días,transporte privado,moderado,moderado,nunca,regular,ocasional,nunca,casi nunca,casi siempre,bastante a menudo,casi siempre,bajo
otros,femenino,no,alta,pequeño,licenciatura,primaria,viudo,4.0,albergue,conjunto,1,mixto,privado,1,más de 5 km,una vez a la semana,transporte privado,bajo,mayor,nunca,regular,ocasional,ocasional,casi siempre,casi nunca,casi siempre,rara vez,bajo
otros,masculino,no,clase baja,grande,posgrado,sin educación,viudo,3.5,albergue,conjunto,4,mixto,público,3,más de 5 km,dos veces a la semana,transporte público,alto,moderado,regular,ocasional,regular,regular,casi siempre,rara vez,rara vez,rara vez,moderado
adolescencia temprana,masculino,sí,clase baja,mediano,posgrado,preparatoria,separado,3.2,con familiares,nuclear,4,mixto,público,3,1–3 km,nunca,transporte privado,moderado,grave,nunca,nunca,nunca,regular,bastante a menudo,rara vez,bastante a menudo,casi siempre,moderado
otros,masculino,no,clase media-baja,grande,licenciatura,sin educación,casado,2.4,albergue,conjunto,2,unisexo,privado,2,más de 5 km,nunca,a pie,bajo,leve,nunca,nunca,nunca,nunca,casi siempre,rara vez,algunas veces,casi nunca,bajo
adolescencia tardía,masculino,sí,clase media-baja,grande,licenciatura,licenciatura,viudo,2.5,albergue,nuclear,5,mixto,privado,2,menos de 1 km,casi todos los días,transporte privado,bajo,grave,nunca,nunca,nunca,nunca,casi nunca,casi siempre,bastante a menudo,bastante a menudo,bajo
adolescencia media,masculino,sí,clase media-baja,grande,licenciatura,posgrado,casado,2.3,con padres,conjunto,4,mixto,privado,3,menos de 1 km,dos veces a la semana,transporte público,moderado,muy poco estrés,regular,ocasional,regular,nunca,rara vez,casi siempre,rara vez,casi siempre,bajo
adolescencia media,masculino,sí,clase baja,mediano,primaria,sin educación,soltero,2.6,con familiares,nuclear,4,mixto,público,1,menos de 1 km,dos veces a la semana,transporte privado,bajo,mayor,nunca,ocasional,ocasional,nunca,rara vez,casi nunca,algunas veces,rara vez,bajo
adolescencia tardía,masculino,no,clase media-alta,pequeño,preparatoria,secundaria,casado,2.0,con familiares,conjunto,4,unisexo,privado,5,1–3 km,una vez a la semana,transporte privado,bajo,leve,regular,ocasional,regular,regular,algunas veces,bastante a menudo,rara vez,casi siempre,bajo
adolescencia temprana,femenino,sí,clase media-baja,grande,posgrado,secundaria,viudo,1.4,albergue,conjunto,1,unisexo,público,0,más de 5 km,una vez a la semana,transporte público,moderado,muy poco estrés,ocasional,nunca,nunca,nunca,rara vez,casi nunca,rara vez,algunas veces,bajo
adolescencia media,masculino,no,alta,grande,primaria,posgrado,separado,3.2,con familiares,conjunto,4,unisexo,privado,2,menos de 1 km,casi todos los días,transporte privado,bajo,mayor,nunca,nunca,nunca,ocasional,bastante a menudo,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase baja,grande,preparatoria,posgrado,separado,2.0,con padres,nuclear,4,mixto,privado,5,menos de 1 km,dos veces a la semana,a pie,bajo,grave,regular,nunca,ocasional,regular,bastante a menudo,bastante a menudo,algunas veces,bastante a menudo,bajo
adolescencia tardía,masculino,sí,clase media-baja,mediano,sin educación,preparatoria,separado,1.8,con familiares,conjunto,5,unisexo,privado,3,3–5 km,una vez a la semana,transporte público,moderado,mayor,regular,nunca,regular,ocasional,bastante a menudo,bastante a menudo,algunas veces,casi nunca,bajo
adolescencia temprana,femenino,no,clase media-baja,mediano,secundaria,preparatoria,divorciado,3.5,con padres,nuclear,5,unisexo,público,1,3–5 km,una vez a la semana,a pie,alto,moderado,regular,nunca,ocasional,nunca,bastante a menudo,a veces,casi nunca,algunas veces,moderado
adolescencia temprana,masculino,sí,alta,mediano,licenciatura,licenciatura,soltero,2.8,albergue,conjunto,5,mixto,privado,5,1–3 km,dos veces a la semana,transporte privado,moderado,mayor,ocasional,regular,ocasional,regular,casi siempre,casi nunca,casi siempre,bastante a menudo,moderado
adolescencia tardía,femenino,sí,clase baja,grande,posgrado,secundaria,casado,4.5,con padres,nuclear,1,unisexo,privado,1,1–3 km,dos veces a la semana,transporte privado,alto,moderado,ocasional,nunca,regular,nunca,rara vez,casi siempre,bastante a menudo,casi nunca,moderado
